keyword,target_url,city,priority,page_type,target_indexable
"cook in preet vihar",/delhi/preet-vihar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in preet vihar",/delhi/preet-vihar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in preet vihar",/delhi/preet-vihar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in laxmi nagar",/delhi/laxmi-nagar,delhi,high,"locality hub",yes
"maid agency in laxmi nagar",/delhi/laxmi-nagar,delhi,high,"locality hub",yes
"domestic help in laxmi nagar",/delhi/laxmi-nagar,delhi,high,"locality hub",yes
"full-time maid in laxmi nagar",/delhi/laxmi-nagar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in laxmi nagar",/delhi/laxmi-nagar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in laxmi nagar",/delhi/laxmi-nagar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in laxmi nagar",/delhi/laxmi-nagar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in laxmi nagar",/delhi/laxmi-nagar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in vasundhara enclave",/delhi/vasundhara-enclave,delhi,high,"locality hub",yes
"maid agency in vasundhara enclave",/delhi/vasundhara-enclave,delhi,high,"locality hub",yes
"domestic help in vasundhara enclave",/delhi/vasundhara-enclave,delhi,high,"locality hub",yes
"full-time maid in vasundhara enclave",/delhi/vasundhara-enclave/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in vasundhara enclave",/delhi/vasundhara-enclave/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in vasundhara enclave",/delhi/vasundhara-enclave/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in vasundhara enclave",/delhi/vasundhara-enclave/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in vasundhara enclave",/delhi/vasundhara-enclave/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in gandhi nagar",/delhi/gandhi-nagar,delhi,medium,"locality hub",yes
"maid agency in gandhi nagar",/delhi/gandhi-nagar,delhi,medium,"locality hub",yes
"domestic help in gandhi nagar",/delhi/gandhi-nagar,delhi,medium,"locality hub",yes
"full-time maid in gandhi nagar",/delhi/gandhi-nagar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in gandhi nagar",/delhi/gandhi-nagar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in gandhi nagar",/delhi/gandhi-nagar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in gandhi nagar",/delhi/gandhi-nagar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in gandhi nagar",/delhi/gandhi-nagar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in vivek vihar",/delhi/vivek-vihar,delhi,high,"locality hub",yes
"maid agency in vivek vihar",/delhi/vivek-vihar,delhi,high,"locality hub",yes
"domestic help in vivek vihar",/delhi/vivek-vihar,delhi,high,"locality hub",yes
"full-time maid in vivek vihar",/delhi/vivek-vihar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in vivek vihar",/delhi/vivek-vihar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in vivek vihar",/delhi/vivek-vihar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in vivek vihar",/delhi/vivek-vihar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in vivek vihar",/delhi/vivek-vihar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in shahdara",/delhi/shahdara,delhi,medium,"locality hub",yes
"maid agency in shahdara",/delhi/shahdara,delhi,medium,"locality hub",yes
"domestic help in shahdara",/delhi/shahdara,delhi,medium,"locality hub",yes
"full-time maid in shahdara",/delhi/shahdara/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in shahdara",/delhi/shahdara/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in shahdara",/delhi/shahdara/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in shahdara",/delhi/shahdara/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in shahdara",/delhi/shahdara/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in bhajanpura",/delhi/bhajanpura,delhi,medium,"locality hub",yes
"maid agency in bhajanpura",/delhi/bhajanpura,delhi,medium,"locality hub",yes
"domestic help in bhajanpura",/delhi/bhajanpura,delhi,medium,"locality hub",yes
"full-time maid in bhajanpura",/delhi/bhajanpura/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in bhajanpura",/delhi/bhajanpura/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in bhajanpura",/delhi/bhajanpura/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in bhajanpura",/delhi/bhajanpura/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in bhajanpura",/delhi/bhajanpura/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in seelampur",/delhi/seelampur,delhi,medium,"locality hub",yes
"maid agency in seelampur",/delhi/seelampur,delhi,medium,"locality hub",yes
"domestic help in seelampur",/delhi/seelampur,delhi,medium,"locality hub",yes
"full-time maid in seelampur",/delhi/seelampur/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in seelampur",/delhi/seelampur/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in seelampur",/delhi/seelampur/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in seelampur",/delhi/seelampur/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in seelampur",/delhi/seelampur/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in karawal nagar",/delhi/karawal-nagar,delhi,medium,"locality hub",yes
"maid agency in karawal nagar",/delhi/karawal-nagar,delhi,medium,"locality hub",yes
"domestic help in karawal nagar",/delhi/karawal-nagar,delhi,medium,"locality hub",yes
"full-time maid in karawal nagar",/delhi/karawal-nagar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in karawal nagar",/delhi/karawal-nagar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in karawal nagar",/delhi/karawal-nagar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in karawal nagar",/delhi/karawal-nagar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in karawal nagar",/delhi/karawal-nagar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in sector 12",/noida/sector-12,noida,high,"locality hub",yes
"maid agency in sector 12",/noida/sector-12,noida,high,"locality hub",yes
"domestic help in sector 12",/noida/sector-12,noida,high,"locality hub",yes
"full-time maid in sector 12",/noida/sector-12/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 12",/noida/sector-12/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 12",/noida/sector-12/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 12",/noida/sector-12/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 12",/noida/sector-12/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 15",/noida/sector-15,noida,high,"locality hub",yes
"maid agency in sector 15",/noida/sector-15,noida,high,"locality hub",yes
"domestic help in sector 15",/noida/sector-15,noida,high,"locality hub",yes
"full-time maid in sector 15",/noida/sector-15/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 15",/noida/sector-15/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 15",/noida/sector-15/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 15",/noida/sector-15/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 15",/noida/sector-15/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 16",/noida/sector-16,noida,high,"locality hub",yes
"maid agency in sector 16",/noida/sector-16,noida,high,"locality hub",yes
"domestic help in sector 16",/noida/sector-16,noida,high,"locality hub",yes
"full-time maid in sector 16",/noida/sector-16/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 16",/noida/sector-16/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 16",/noida/sector-16/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 16",/noida/sector-16/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 16",/noida/sector-16/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 18",/noida/sector-18,noida,high,"locality hub",yes
"maid agency in sector 18",/noida/sector-18,noida,high,"locality hub",yes
"domestic help in sector 18",/noida/sector-18,noida,high,"locality hub",yes
"full-time maid in sector 18",/noida/sector-18/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 18",/noida/sector-18/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 18",/noida/sector-18/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 18",/noida/sector-18/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 18",/noida/sector-18/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 19",/noida/sector-19,noida,high,"locality hub",yes
"maid agency in sector 19",/noida/sector-19,noida,high,"locality hub",yes
"domestic help in sector 19",/noida/sector-19,noida,high,"locality hub",yes
"full-time maid in sector 19",/noida/sector-19/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 19",/noida/sector-19/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 19",/noida/sector-19/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 19",/noida/sector-19/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 19",/noida/sector-19/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 20",/noida/sector-20,noida,high,"locality hub",yes
"maid agency in sector 20",/noida/sector-20,noida,high,"locality hub",yes
"domestic help in sector 20",/noida/sector-20,noida,high,"locality hub",yes
"full-time maid in sector 20",/noida/sector-20/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 20",/noida/sector-20/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 20",/noida/sector-20/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 20",/noida/sector-20/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 20",/noida/sector-20/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 21",/noida/sector-21,noida,high,"locality hub",yes
"maid agency in sector 21",/noida/sector-21,noida,high,"locality hub",yes
"domestic help in sector 21",/noida/sector-21,noida,high,"locality hub",yes
"full-time maid in sector 21",/noida/sector-21/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 21",/noida/sector-21/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 21",/noida/sector-21/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 21",/noida/sector-21/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 21",/noida/sector-21/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 22",/noida/sector-22,noida,high,"locality hub",yes
"maid agency in sector 22",/noida/sector-22,noida,high,"locality hub",yes
"domestic help in sector 22",/noida/sector-22,noida,high,"locality hub",yes
"full-time maid in sector 22",/noida/sector-22/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 22",/noida/sector-22/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 22",/noida/sector-22/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 22",/noida/sector-22/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 22",/noida/sector-22/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 27",/noida/sector-27,noida,high,"locality hub",yes
"maid agency in sector 27",/noida/sector-27,noida,high,"locality hub",yes
"domestic help in sector 27",/noida/sector-27,noida,high,"locality hub",yes
"full-time maid in sector 27",/noida/sector-27/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 27",/noida/sector-27/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 27",/noida/sector-27/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 27",/noida/sector-27/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 27",/noida/sector-27/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 28",/noida/sector-28,noida,high,"locality hub",yes
"maid agency in sector 28",/noida/sector-28,noida,high,"locality hub",yes
"domestic help in sector 28",/noida/sector-28,noida,high,"locality hub",yes
"full-time maid in sector 28",/noida/sector-28/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 28",/noida/sector-28/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 28",/noida/sector-28/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 28",/noida/sector-28/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 28",/noida/sector-28/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 29",/noida/sector-29,noida,high,"locality hub",yes
"maid agency in sector 29",/noida/sector-29,noida,high,"locality hub",yes
"domestic help in sector 29",/noida/sector-29,noida,high,"locality hub",yes
"full-time maid in sector 29",/noida/sector-29/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 29",/noida/sector-29/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 29",/noida/sector-29/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 29",/noida/sector-29/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
"elder care in sector 29",/noida/sector-29/elder-care,noida,high,"service x locality (elder-care)",yes
"maid service in sector 30",/noida/sector-30,noida,high,"locality hub",yes
"maid agency in sector 30",/noida/sector-30,noida,high,"locality hub",yes
"domestic help in sector 30",/noida/sector-30,noida,high,"locality hub",yes
"full-time maid in sector 30",/noida/sector-30/full-time-maid,noida,high,"service x locality (full-time-maid)",yes
"part-time maid in sector 30",/noida/sector-30/part-time-maid,noida,high,"service x locality (part-time-maid)",yes
"cook in sector 30",/noida/sector-30/cook,noida,high,"service x locality (cook)",yes
"babysitter / nanny in sector 30",/noida/sector-30/babysitter-nanny,noida,high,"service x locality (babysitter-nanny)",yes
